path,category,exists,size_bytes,size_human,regeneration
data/raw/raw_input_manifest.csv,required_input_or_spec,True,1661,1.6 KB,required source/spec
data/raw/source_artifacts/cross_model/inference,required_input_or_spec,True,106994492,102.0 MB,required source/spec
data/raw/source_artifacts/cross_model/DataOriginal_FINAL.csv,required_input_or_spec,True,5045679,4.8 MB,required source/spec
data/raw/source_artifacts/gpt_health/DataOriginal_FINAL.csv,required_input_or_spec,True,5045679,4.8 MB,required source/spec
data/canonical,required_input_or_spec,True,53206606,50.7 MB,required source/spec
README.md,required_input_or_spec,True,2114,2.1 KB,required source/spec
MANIFEST.md,required_input_or_spec,True,2049,2.0 KB,required source/spec
LICENSE,required_input_or_spec,True,1283,1.3 KB,required source/spec
CITATION.cff,required_input_or_spec,True,448,448.0 B,required source/spec
Dockerfile,required_input_or_spec,True,183,183.0 B,required source/spec
Makefile,required_input_or_spec,True,867,867.0 B,required source/spec
environment.yml,required_input_or_spec,True,91,91.0 B,required source/spec
run_full_repro.sh,required_input_or_spec,True,2326,2.3 KB,required source/spec
run_all.sh,required_input_or_spec,True,364,364.0 B,required source/spec
specs/raw_response_schema.yaml,required_input_or_spec,True,1502,1.5 KB,required source/spec
specs/parser_spec.yaml,required_input_or_spec,True,917,917.0 B,required source/spec
specs/endpoint_definitions.yaml,required_input_or_spec,True,1506,1.5 KB,required source/spec
specs/axis_book.yaml,required_input_or_spec,True,867,867.0 B,required source/spec
specs/eligibility_rules.yaml,required_input_or_spec,True,943,943.0 B,required source/spec
specs/metric_definitions.yaml,required_input_or_spec,True,1340,1.3 KB,required source/spec
specs/split_mask_spec.yaml,required_input_or_spec,True,581,581.0 B,required source/spec
specs/reconstructor_spec.yaml,required_input_or_spec,True,829,829.0 B,required source/spec
specs/null_spec.yaml,required_input_or_spec,True,1078,1.1 KB,required source/spec
FULL_REPRO_CLAIM.md,required_input_or_spec,True,3351,3.3 KB,required source/spec
CLAIM_LANGUAGE.md,required_input_or_spec,True,2276,2.2 KB,required source/spec
REVIEWER_SUMMARY.md,required_input_or_spec,True,2162,2.1 KB,required source/spec
REVIEWER_QA_14_POINT_CHECKLIST.md,required_input_or_spec,True,1297,1.3 KB,required source/spec
INDEPENDENT_REPRODUCTION_INSTRUCTIONS.md,required_input_or_spec,True,2030,2.0 KB,required source/spec
DATA_USE.md,required_input_or_spec,True,1417,1.4 KB,required source/spec
DATA_ACCESS.md,required_input_or_spec,True,776,776.0 B,required source/spec
CODEBOOK.md,required_input_or_spec,True,3613,3.5 KB,required source/spec
pyproject.toml,required_input_or_spec,True,238,238.0 B,required source/spec
results/full_repro/main_result_table.csv,key_generated_output,True,377,377.0 B,generated by run_full_repro.sh --strict
results/full_repro/per_model_results.csv,key_generated_output,True,1188,1.2 KB,generated by run_full_repro.sh --strict
results/full_repro/denominator_table.csv,key_generated_output,True,1360,1.3 KB,generated by run_full_repro.sh --strict
results/full_repro/endpoint_audit_table.csv,key_generated_output,True,1240,1.2 KB,generated by run_full_repro.sh --strict
results/full_repro/null_distribution_raw_recomputed.csv,key_generated_output,True,128351,125.3 KB,generated by run_full_repro.sh --strict
audit/full_repro/null_recompute_vs_frozen_report.md,key_generated_output,True,239,239.0 B,generated by run_full_repro.sh --strict
audit/full_repro/raw_rebuild_vs_canonical_artifact_report.md,key_generated_output,True,296,296.0 B,generated by run_full_repro.sh --strict
audit/full_repro/endpoint_attempt_ledger.csv,key_generated_output,True,1199,1.2 KB,generated by run_full_repro.sh --strict
results/full_repro/parsed_responses.csv,large_reproducible_output,True,101132806,96.4 MB,generated by run_full_repro.sh --strict
results/full_repro/hidden_predictions.csv,large_reproducible_output,True,289105946,275.7 MB,generated by run_full_repro.sh --strict
results/full_repro/null_permutation_manifest.csv,large_reproducible_output,True,52469619,50.0 MB,generated by run_full_repro.sh --strict
data/splits/full_repro/q12_split_manifest.csv,large_reproducible_output,True,28506245,27.2 MB,generated by run_full_repro.sh --strict
audit/full_repro/strict_clean_run_terminal_transcript.txt,optional_handoff_output,True,1664,1.6 KB,generated by run_full_repro.sh --strict
