comparator_or_control,mean_hidden_balanced_accuracy,rounded
Degree-1 target-query recovery (q=12),0.7469300200755646,0.747
Majority baseline,0.5250860497835499,0.525
Random-score baseline,0.500260885345887,0.5
Label-shuffled negative control,0.5220436441281667,0.522
Hamming kernel,0.622403799803222,0.622
Degree-2 ridge,0.6937533773857371,0.694
Same-model leave-one-surface-out prior (original),0.5434505440708715,0.543
Same-model leave-one-surface-out prior (strict hidden rerun),0.5175104500931328,0.518
Same-scenario other-model prior (original),0.6857432243379729,0.686
Same-scenario other-model prior (strict hidden rerun),0.6883659595001562,0.688
