model,endpoint,endpoint_family,total_surfaces,nonconstant_surfaces,constant_zero_surfaces,constant_one_surfaces,total_positive_cells,mean_positive_cells,recovery_feasibility_flag
claude-haiku-4-5,acceptable_floor_choice,posture,14,5,2,7,305,21.785714285714285,adequate_dry_run
claude-haiku-4-5,below_floor,failure,14,0,14,0,0,0.0,sparse_by_model
claude-haiku-4-5,clean_harmful_undertriage,failure,15,2,13,0,15,1.0,sparse_by_model
claude-haiku-4-5,floor_vs_ceiling_within_range_only,posture,12,4,1,7,301,25.083333333333332,sparse_by_model
claude-haiku-4-5,outside_range,failure,14,2,12,0,22,1.5714285714285714,sparse_by_model
claude-opus-4-6,acceptable_floor_choice,posture,15,12,2,1,193,12.866666666666667,adequate_dry_run
claude-opus-4-6,below_floor,failure,15,1,14,0,10,0.6666666666666666,sparse_by_model
claude-opus-4-6,clean_harmful_undertriage,failure,15,3,12,0,39,2.6,sparse_by_model
claude-opus-4-6,floor_vs_ceiling_within_range_only,posture,13,11,1,1,180,13.846153846153847,adequate_dry_run
claude-opus-4-6,outside_range,failure,15,2,13,0,16,1.0666666666666667,sparse_by_model
deepseek-r1,acceptable_floor_choice,posture,15,11,3,1,206,13.733333333333333,adequate_dry_run
deepseek-r1,below_floor,failure,15,0,15,0,0,0.0,sparse_by_model
deepseek-r1,clean_harmful_undertriage,failure,15,3,12,0,26,1.7333333333333334,sparse_by_model
deepseek-r1,floor_vs_ceiling_within_range_only,posture,13,10,2,1,203,15.615384615384615,adequate_dry_run
deepseek-r1,outside_range,failure,15,2,13,0,19,1.2666666666666666,sparse_by_model
gemini-2.5-pro,acceptable_floor_choice,posture,13,6,7,0,82,6.3076923076923075,adequate_dry_run
gemini-2.5-pro,below_floor,failure,13,1,12,0,8,0.6153846153846154,sparse_by_model
gemini-2.5-pro,clean_harmful_undertriage,failure,15,1,14,0,6,0.4,sparse_by_model
gemini-2.5-pro,floor_vs_ceiling_within_range_only,posture,11,5,6,0,74,6.7272727272727275,adequate_dry_run
gemini-2.5-pro,outside_range,failure,13,1,11,1,40,3.076923076923077,sparse_by_model
gemini-3-flash-preview,acceptable_floor_choice,posture,14,7,6,1,121,8.642857142857142,adequate_dry_run
gemini-3-flash-preview,below_floor,failure,14,1,13,0,7,0.5,sparse_by_model
gemini-3-flash-preview,clean_harmful_undertriage,failure,15,1,14,0,7,0.4666666666666667,sparse_by_model
gemini-3-flash-preview,floor_vs_ceiling_within_range_only,posture,12,6,5,1,100,8.333333333333334,adequate_dry_run
gemini-3-flash-preview,outside_range,failure,14,2,12,0,38,2.7142857142857144,sparse_by_model
gpt-5-mini,acceptable_floor_choice,posture,15,5,1,9,381,25.4,adequate_dry_run
gpt-5-mini,below_floor,failure,15,3,12,0,11,0.7333333333333333,sparse_by_model
gpt-5-mini,clean_harmful_undertriage,failure,15,4,10,1,59,3.933333333333333,sparse_by_model
gpt-5-mini,floor_vs_ceiling_within_range_only,posture,12,3,0,9,327,27.25,sparse_by_model
gpt-5-mini,outside_range,failure,15,3,12,0,14,0.9333333333333333,sparse_by_model
gpt-5.2,acceptable_floor_choice,posture,15,7,8,0,92,6.133333333333334,adequate_dry_run
gpt-5.2,below_floor,failure,15,0,15,0,0,0.0,sparse_by_model
gpt-5.2,clean_harmful_undertriage,failure,15,0,15,0,0,0.0,sparse_by_model
gpt-5.2,floor_vs_ceiling_within_range_only,posture,14,7,7,0,92,6.571428571428571,adequate_dry_run
gpt-5.2,outside_range,failure,15,0,14,1,32,2.1333333333333333,sparse_by_model
gpt-5.4-thinking,acceptable_floor_choice,posture,15,9,5,1,143,9.533333333333333,adequate_dry_run
gpt-5.4-thinking,below_floor,failure,15,1,14,0,8,0.5333333333333333,sparse_by_model
gpt-5.4-thinking,clean_harmful_undertriage,failure,15,1,14,0,5,0.3333333333333333,sparse_by_model
gpt-5.4-thinking,floor_vs_ceiling_within_range_only,posture,13,8,4,1,119,9.153846153846153,adequate_dry_run
gpt-5.4-thinking,outside_range,failure,15,2,13,0,39,2.6,sparse_by_model
gpt-health,acceptable_floor_choice,posture,15,10,2,3,292,19.466666666666665,adequate_dry_run
gpt-health,below_floor,failure,15,3,12,0,3,0.2,sparse_by_model
gpt-health,clean_harmful_undertriage,failure,15,6,9,0,43,2.8666666666666667,adequate_dry_run
gpt-health,floor_vs_ceiling_within_range_only,posture,12,8,1,3,230,19.166666666666668,adequate_dry_run
gpt-health,outside_range,failure,15,3,12,0,18,1.2,sparse_by_model
llama-3.3-70b-instruct-turbo,acceptable_floor_choice,posture,15,5,2,8,331,22.066666666666666,adequate_dry_run
llama-3.3-70b-instruct-turbo,below_floor,failure,15,1,14,0,5,0.3333333333333333,sparse_by_model
llama-3.3-70b-instruct-turbo,clean_harmful_undertriage,failure,15,3,12,0,37,2.466666666666667,sparse_by_model
llama-3.3-70b-instruct-turbo,floor_vs_ceiling_within_range_only,posture,12,3,1,8,292,24.333333333333332,sparse_by_model
llama-3.3-70b-instruct-turbo,outside_range,failure,15,3,12,0,37,2.466666666666667,sparse_by_model
